condition_id,paired_condition_id,episode_id,task_family,step,terminated,p_continue,p_disengage,persistence_logit,top_token_is_action,p_action_mass_raw,response_mapping,prompt_hash,model,model_revision
llama_order_calibration_v1-018d885767834ec1-m0,llama_order_calibration_v1-018d885767834ec1,llama_order_calibration_v1-018d885767834ec1-m0,waiting,0,True,0.29421497216298875,0.7057850278370112,-0.8750000000000002,True,0.9998646378517151,"{""continue"": ""A"", ""disengage"": ""B""}",c235770a92feafd18fd86ab5b2738f0a4022392f267cabc9c504ad5213b252b0,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-018d885767834ec1-m1,llama_order_calibration_v1-018d885767834ec1,llama_order_calibration_v1-018d885767834ec1-m1,waiting,0,True,0.017986209962091555,0.9820137900379085,-4.0,True,0.9999923706054688,"{""continue"": ""B"", ""disengage"": ""A""}",60c1616d11c9db6a4fbcd61a7a0fb6abf3361a83da9dba1c20fcea4195b88328,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0396ad67ad2d09d9-m0,llama_order_calibration_v1-0396ad67ad2d09d9,llama_order_calibration_v1-0396ad67ad2d09d9-m0,debugging,0,True,0.07585818002124356,0.9241418199787566,-2.5,True,0.9999847412109375,"{""continue"": ""A"", ""disengage"": ""B""}",947fb58bdb3ca041ab81790dc5cee7be6f531ff1039dc05aa15cdc736fce4f08,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0396ad67ad2d09d9-m1,llama_order_calibration_v1-0396ad67ad2d09d9,llama_order_calibration_v1-0396ad67ad2d09d9-m1,debugging,0,True,0.05340332979982424,0.9465966702001758,-2.875,True,0.9999962449073792,"{""continue"": ""B"", ""disengage"": ""A""}",8e8300768b192bcc52542fac7945fb55b6838e5e037c8fcf616a519df18a05e1,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04792ecdb40fd831-m0,llama_order_calibration_v1-04792ecdb40fd831,llama_order_calibration_v1-04792ecdb40fd831-m0,solvability,0,True,0.46879062662624377,0.5312093733737563,-0.12500000000000006,True,0.9999790787696838,"{""continue"": ""A"", ""disengage"": ""B""}",c595cbdd9800092a422ca947e76d40ded22c8b4baaa94d12f93fec2eac9f1d96,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04792ecdb40fd831-m1,llama_order_calibration_v1-04792ecdb40fd831,llama_order_calibration_v1-04792ecdb40fd831-m1,solvability,0,True,0.04208772791561884,0.9579122720843811,-3.125,True,0.9999962449073792,"{""continue"": ""B"", ""disengage"": ""A""}",e8f06606b799ce7002c28685db72563f184a6ac93d086511deeb2dcab4f19f76,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04bd9dc7e316d229-m0,llama_order_calibration_v1-04bd9dc7e316d229,llama_order_calibration_v1-04bd9dc7e316d229-m0,information_sampling,0,True,0.7310585786300049,0.2689414213699951,1.0,True,0.9999370574951172,"{""continue"": ""A"", ""disengage"": ""B""}",21938e19dd7821b9aba14c1ad86ded45b8c8e26a9283d58df873359722c959c4,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-04bd9dc7e316d229-m1,llama_order_calibration_v1-04bd9dc7e316d229,llama_order_calibration_v1-04bd9dc7e316d229-m1,information_sampling,0,True,0.11920292202211756,0.8807970779778824,-2.0,True,0.9999752640724182,"{""continue"": ""B"", ""disengage"": ""A""}",64e6fd8d7c209ce58f4d96a1323d9a5ffb79ea4dc657ea0566876add05d93ae5,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b18897be2db024f-m0,llama_order_calibration_v1-0b18897be2db024f,llama_order_calibration_v1-0b18897be2db024f-m0,effort,0,True,0.9241418199787566,0.07585818002124356,2.5,True,0.9999923706054688,"{""continue"": ""A"", ""disengage"": ""B""}",af083db980e19965a87bc1d339cae1f10afebda1f82e806cb9d3fc9a81c193e3,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b18897be2db024f-m1,llama_order_calibration_v1-0b18897be2db024f,llama_order_calibration_v1-0b18897be2db024f-m1,effort,0,True,0.20181322226037882,0.7981867777396212,-1.375,True,0.9999904632568359,"{""continue"": ""B"", ""disengage"": ""A""}",020dae464a35c3945de0af5219bc1c72b6d426c94b9e2c78eb087bf20c653454,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b89a3dcfb759f66-m0,llama_order_calibration_v1-0b89a3dcfb759f66,llama_order_calibration_v1-0b89a3dcfb759f66-m0,bandit,0,True,0.5,0.5,0.0,True,0.9999675750732422,"{""continue"": ""A"", ""disengage"": ""B""}",8d6ed73a7c60f8a0ec25a53be7fafb9c3243b65a086826038810ad9faa92573f,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b89a3dcfb759f66-m1,llama_order_calibration_v1-0b89a3dcfb759f66,llama_order_calibration_v1-0b89a3dcfb759f66-m1,bandit,0,True,0.1645164628965632,0.8354835371034369,-1.625,True,0.9999962449073792,"{""continue"": ""B"", ""disengage"": ""A""}",dffa456181cddc7d3f6b9eae48f641587587fc255ac220cbda0b7cd4926a8cb5,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b914974465ce4cb-m0,llama_order_calibration_v1-0b914974465ce4cb,llama_order_calibration_v1-0b914974465ce4cb-m0,bandit,0,True,0.1066905939456512,0.8933094060543488,-2.125,True,0.9999408721923828,"{""continue"": ""A"", ""disengage"": ""B""}",b72d44a9e1e6a69688ddfbac1ce640ed36934236145d2f7debfb0be9299cfdbd,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0b914974465ce4cb-m1,llama_order_calibration_v1-0b914974465ce4cb,llama_order_calibration_v1-0b914974465ce4cb-m1,bandit,0,True,0.11920292202211756,0.8807970779778824,-2.0,True,0.9999962449073792,"{""continue"": ""B"", ""disengage"": ""A""}",72a0b0c7b985e54f86147ddecfa85054b4c988f7db51d5cc0f5c21b3d27bf091,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0c056e1e004ef1d5-m0,llama_order_calibration_v1-0c056e1e004ef1d5,llama_order_calibration_v1-0c056e1e004ef1d5-m0,information_sampling,0,True,0.5926665999540698,0.40733340004593027,0.37499999999999994,True,0.9999141693115234,"{""continue"": ""A"", ""disengage"": ""B""}",6f114589ebe601035dc1b6360b14c09d82daf0b3f7ae07c7ebcd2173d2068fd9,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0c056e1e004ef1d5-m1,llama_order_calibration_v1-0c056e1e004ef1d5,llama_order_calibration_v1-0c056e1e004ef1d5-m1,information_sampling,0,True,0.08509904500702024,0.9149009549929797,-2.375,True,0.9999580383300781,"{""continue"": ""B"", ""disengage"": ""A""}",3cb2eda4c7cca40eece557dff124cd82de2c163877a8621c694ad0d6d0e44f82,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0db341fb878ef49a-m0,llama_order_calibration_v1-0db341fb878ef49a,llama_order_calibration_v1-0db341fb878ef49a-m0,waiting,0,True,0.9241418199787566,0.07585818002124356,2.5,True,0.999969482421875,"{""continue"": ""A"", ""disengage"": ""B""}",af555cadbb27ad2e06798ddbb2b1565c49efc7945f547772b39a10aef3e8fe7e,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-0db341fb878ef49a-m1,llama_order_calibration_v1-0db341fb878ef49a,llama_order_calibration_v1-0db341fb878ef49a-m1,waiting,0,True,0.32082130082460697,0.679178699175393,-0.7500000000000001,True,0.9999885559082031,"{""continue"": ""B"", ""disengage"": ""A""}",4c0381d16332d50f73470e405c8aa8ef462844e1245fe04625ddb1021aa55333,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-102c36bd4626bea3-m0,llama_order_calibration_v1-102c36bd4626bea3,llama_order_calibration_v1-102c36bd4626bea3-m0,debugging,0,True,0.5312093733737563,0.46879062662624377,0.125,True,0.9999485611915588,"{""continue"": ""A"", ""disengage"": ""B""}",29abfca3f6f10baca5be6b46f0684ce8a9098b7b919002e1c534454d2cbd7847,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-102c36bd4626bea3-m1,llama_order_calibration_v1-102c36bd4626bea3,llama_order_calibration_v1-102c36bd4626bea3-m1,debugging,0,True,0.08509904500702024,0.9149009549929797,-2.375,True,0.9999809265136719,"{""continue"": ""B"", ""disengage"": ""A""}",a4ae22685a0d69319d8ca08d2c37972f4d8bf492ea551c091a34ea7ed9b49c9c,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-118c505dafdf27c8-m0,llama_order_calibration_v1-118c505dafdf27c8,llama_order_calibration_v1-118c505dafdf27c8-m0,bandit,0,True,0.7772998611746912,0.22270013882530887,1.25,True,0.9999904632568359,"{""continue"": ""A"", ""disengage"": ""B""}",4d58b8ff95ba8e38b4bc22e77bdffb0d3b7d738b5ca2f34daaca7b16d592fcb8,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-118c505dafdf27c8-m1,llama_order_calibration_v1-118c505dafdf27c8,llama_order_calibration_v1-118c505dafdf27c8-m1,bandit,0,True,0.1066905939456512,0.8933094060543488,-2.125,True,1.0,"{""continue"": ""B"", ""disengage"": ""A""}",9862fc63d966ba39767e9369978dcceb49ed88cbdeb98653d8869e84f50e5b99,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-145a17ac843fe7f3-m0,llama_order_calibration_v1-145a17ac843fe7f3,llama_order_calibration_v1-145a17ac843fe7f3-m0,solvability,0,True,0.7057850278370112,0.29421497216298875,0.8750000000000001,True,0.9999733567237854,"{""continue"": ""A"", ""disengage"": ""B""}",ad6354fbc3e3f46e69465e0950e2bd538826556fb8c9eb7ddb9878003432c078,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-145a17ac843fe7f3-m1,llama_order_calibration_v1-145a17ac843fe7f3,llama_order_calibration_v1-145a17ac843fe7f3-m1,solvability,0,True,0.07585818002124356,0.9241418199787566,-2.5,True,0.9999885559082031,"{""continue"": ""B"", ""disengage"": ""A""}",5c20e4aa1406fc03614506cc96cdf646ae3b3590e0e4aabe99de4b815eb8acd9,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-180985b7e6c73c6f-m0,llama_order_calibration_v1-180985b7e6c73c6f,llama_order_calibration_v1-180985b7e6c73c6f-m0,debugging,0,True,0.5926665999540698,0.40733340004593027,0.37499999999999994,True,0.9999733567237854,"{""continue"": ""A"", ""disengage"": ""B""}",77fa1423ede988329157cee3608ec373e62cf1905ed4b40e37b8563d259dc8b2,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-180985b7e6c73c6f-m1,llama_order_calibration_v1-180985b7e6c73c6f,llama_order_calibration_v1-180985b7e6c73c6f-m1,debugging,0,True,0.1066905939456512,0.8933094060543488,-2.125,True,0.9999885559082031,"{""continue"": ""B"", ""disengage"": ""A""}",4b00d1473e534695b799e5a55a5b604507ce8d3b17977596c0fe43361c0be524,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-1bb628f485bfe407-m0,llama_order_calibration_v1-1bb628f485bfe407,llama_order_calibration_v1-1bb628f485bfe407-m0,effort,0,True,0.9579122720843811,0.04208772791561884,3.125,True,0.9999962449073792,"{""continue"": ""A"", ""disengage"": ""B""}",e53275c51a4520a40f56844b651b254d13944718d58e5727ebc14b98dfba00ed,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-1bb628f485bfe407-m1,llama_order_calibration_v1-1bb628f485bfe407,llama_order_calibration_v1-1bb628f485bfe407-m1,effort,0,True,0.0675466911396291,0.9324533088603709,-2.625,True,0.9999923706054688,"{""continue"": ""B"", ""disengage"": ""A""}",7e4f10c08b27fa9f03b31f423618c35ef5dd37796f7a7d8ebc7d70089978142e,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_order_calibration_v1-1dadcc12b8df23a6-m0,llama_order_calibration_v1-1dadcc12b8df23a6,llama_order_calibration_v1-1dadcc12b8df23a6-m0,solvability,0,True,0.8933094060543488,0.1066905939456512,2.125,True,0.999969482421875,"{""continue"": ""A"", ""disengage"": ""B""}",bd8921e29cbadc760dd55e012da12473019f53afe943906b07a905be8ce3197f,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
