condition_id,paired_condition_id,task_family,episode_id,step,terminated,p_continue,p_disengage,persistence_logit,top_token_is_action,p_action_mass_raw,response_mapping,model,model_revision
llama_pilot_v1-00ace04eafb2f96c-m0,llama_pilot_v1-00ace04eafb2f96c,foraging,llama_pilot_v1-00ace04eafb2f96c-m0,0,True,0.2689414213699951,0.7310585786300049,-1.0000000000000002,True,0.9999561309814453,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-00ace04eafb2f96c-m1,llama_pilot_v1-00ace04eafb2f96c,foraging,llama_pilot_v1-00ace04eafb2f96c-m1,0,True,0.04208772791561884,0.9579122720843811,-3.125,True,0.9999962449073792,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-0144009925dd275f-m0,llama_pilot_v1-0144009925dd275f,bandit,llama_pilot_v1-0144009925dd275f-m0,0,True,0.6224593312018546,0.37754066879814546,0.5,True,0.9999294877052307,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-0144009925dd275f-m1,llama_pilot_v1-0144009925dd275f,bandit,llama_pilot_v1-0144009925dd275f-m1,0,True,0.11920292202211756,0.8807970779778824,-2.0,True,0.9999809265136719,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-01a59c911f57c1c6-m0,llama_pilot_v1-01a59c911f57c1c6,information_sampling,llama_pilot_v1-01a59c911f57c1c6-m0,0,True,0.7772998611746912,0.22270013882530887,1.25,True,0.9993002414703369,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-01a59c911f57c1c6-m1,llama_pilot_v1-01a59c911f57c1c6,information_sampling,llama_pilot_v1-01a59c911f57c1c6-m1,0,True,0.20181322226037882,0.7981867777396212,-1.375,True,0.9996395707130432,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-01e21de1a96562ac-m0,llama_pilot_v1-01e21de1a96562ac,foraging,llama_pilot_v1-01e21de1a96562ac-m0,0,True,0.679178699175393,0.32082130082460697,0.7500000000000002,True,0.9999752640724182,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-01e21de1a96562ac-m1,llama_pilot_v1-01e21de1a96562ac,foraging,llama_pilot_v1-01e21de1a96562ac-m1,0,True,0.03308597838870413,0.9669140216112959,-3.375,True,0.9999962449073792,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-024bc2d35ecf58a6-m0,llama_pilot_v1-024bc2d35ecf58a6,bandit,llama_pilot_v1-024bc2d35ecf58a6-m0,0,True,0.679178699175393,0.32082130082460697,0.7500000000000002,True,0.9999122619628906,"{""continue"": ""X"", ""disengage"": ""Y""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
llama_pilot_v1-024bc2d35ecf58a6-m1,llama_pilot_v1-024bc2d35ecf58a6,bandit,llama_pilot_v1-024bc2d35ecf58a6-m1,0,True,0.13296424019782926,0.8670357598021707,-1.875,True,0.9999752640724182,"{""continue"": ""Y"", ""disengage"": ""X""}",meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659
