condition_id,task_family,coverage_job_index,selection_role
abs-candidate-0017415,debugging,0,coverage_random_validation
abs-candidate-0028958,debugging,1,coverage_random_validation
abs-candidate-0027495,debugging,2,coverage_random_validation
abs-candidate-0037947,bandit,3,coverage_random_validation
abs-candidate-0030789,information_sampling,4,coverage_random_validation
abs-candidate-0025101,debugging,5,coverage_random_validation
abs-candidate-0032011,bandit,0,coverage_random_validation
abs-candidate-0044339,foraging,1,coverage_random_validation
abs-candidate-0014199,information_sampling,2,coverage_random_validation
abs-candidate-0032506,effort,3,coverage_random_validation
abs-candidate-0043812,debugging,4,coverage_random_validation
abs-candidate-0009524,waiting,5,coverage_random_validation
abs-candidate-0000499,solvability,0,coverage_random_validation
abs-candidate-0041973,foraging,1,coverage_random_validation
abs-candidate-0036668,solvability,2,coverage_random_validation
abs-candidate-0002986,waiting,3,coverage_random_validation
abs-candidate-0015058,foraging,4,coverage_random_validation
abs-candidate-0045951,information_sampling,5,coverage_random_validation
abs-candidate-0009782,information_sampling,0,coverage_random_validation
abs-candidate-0015909,effort,1,coverage_random_validation
abs-candidate-0036452,information_sampling,2,coverage_random_validation
abs-candidate-0029757,bandit,3,coverage_random_validation
abs-candidate-0047061,bandit,4,coverage_random_validation
abs-candidate-0032491,waiting,5,coverage_random_validation
abs-candidate-0039287,information_sampling,0,coverage_random_validation
abs-candidate-0033233,waiting,1,coverage_random_validation
abs-candidate-0012080,effort,2,coverage_random_validation
abs-candidate-0022198,foraging,3,coverage_random_validation
abs-candidate-0022181,effort,4,coverage_random_validation
abs-candidate-0003792,effort,5,coverage_random_validation
abs-candidate-0006121,information_sampling,0,coverage_random_validation
abs-candidate-0036695,foraging,1,coverage_random_validation
abs-candidate-0002829,foraging,2,coverage_random_validation
abs-candidate-0009046,solvability,3,coverage_random_validation
abs-candidate-0000687,foraging,4,coverage_random_validation
abs-candidate-0017809,foraging,5,coverage_random_validation
abs-candidate-0019365,information_sampling,0,coverage_random_validation
abs-candidate-0005763,solvability,1,coverage_random_validation
abs-candidate-0025661,debugging,2,coverage_random_validation
abs-candidate-0047070,solvability,3,coverage_random_validation
abs-candidate-0037975,bandit,4,coverage_random_validation
abs-candidate-0022912,foraging,5,coverage_random_validation
abs-candidate-0045402,bandit,0,coverage_random_validation
abs-candidate-0040546,solvability,1,coverage_random_validation
abs-candidate-0023380,bandit,2,coverage_random_validation
abs-candidate-0029830,information_sampling,3,coverage_random_validation
abs-candidate-0024484,effort,4,coverage_random_validation
abs-candidate-0035188,debugging,5,coverage_random_validation
abs-candidate-0008436,foraging,0,coverage_random_validation
abs-candidate-0038744,debugging,1,coverage_random_validation
abs-candidate-0013201,debugging,2,coverage_random_validation
abs-candidate-0026794,effort,3,coverage_random_validation
abs-candidate-0010407,effort,4,coverage_random_validation
abs-candidate-0042316,foraging,5,coverage_random_validation
abs-candidate-0021768,effort,0,coverage_random_validation
abs-candidate-0042950,effort,1,coverage_random_validation
abs-candidate-0051497,effort,2,coverage_random_validation
abs-candidate-0051355,information_sampling,3,coverage_random_validation
abs-candidate-0025588,information_sampling,4,coverage_random_validation
abs-candidate-0028562,solvability,5,coverage_random_validation
abs-candidate-0040478,waiting,0,coverage_random_validation
abs-candidate-0041343,foraging,1,coverage_random_validation
abs-candidate-0015756,debugging,2,coverage_random_validation
abs-candidate-0026619,effort,3,coverage_random_validation
abs-candidate-0048255,waiting,4,coverage_random_validation
abs-candidate-0042027,debugging,5,coverage_random_validation
abs-candidate-0051281,debugging,0,coverage_random_validation
abs-candidate-0022545,effort,1,coverage_random_validation
abs-candidate-0014104,debugging,2,coverage_random_validation
abs-candidate-0043119,debugging,3,coverage_random_validation
abs-candidate-0029774,information_sampling,4,coverage_random_validation
abs-candidate-0004300,solvability,5,coverage_random_validation
abs-candidate-0033908,bandit,0,coverage_random_validation
abs-candidate-0009377,waiting,1,coverage_random_validation
abs-candidate-0011178,debugging,2,coverage_random_validation
abs-candidate-0047099,information_sampling,3,coverage_random_validation
abs-candidate-0019602,solvability,4,coverage_random_validation
abs-candidate-0039282,effort,5,coverage_random_validation
abs-candidate-0019984,debugging,0,coverage_random_validation
abs-candidate-0030472,foraging,1,coverage_random_validation
abs-candidate-0041221,effort,2,coverage_random_validation
abs-candidate-0041929,debugging,3,coverage_random_validation
abs-candidate-0009423,foraging,4,coverage_random_validation
abs-candidate-0003083,information_sampling,5,coverage_random_validation
abs-candidate-0044865,solvability,0,coverage_random_validation
abs-candidate-0048618,information_sampling,1,coverage_random_validation
abs-candidate-0038863,debugging,2,coverage_random_validation
abs-candidate-0032109,bandit,3,coverage_random_validation
